name,latitude,longitude
HARBOURFRONT CENTRE,1.26206336410344,103.818732564507
NORTHPOINT CITY,1.42822560922688,103.836419992398
SUNTEC CITY MALL,1.29350132535558,103.857307495824
CATHAY CINELEISURE ORCHARD,1.30146393496315,103.836463810773
HEARTLAND MALL,1.35954177325561,103.885167372726
100 AM,1.27468281482263,103.843488359469
YEW TEE SQUARE,1.39804736098268,103.74708477866
SUNSHINE PLACE,1.37789727709418,103.739015486021
YEW TEE POINT,1.39705741516141,103.746662121143
THE CATHAY,1.29920609145429,103.847826817241
SIM LIM SQUARE,1.3030242605718,103.853037814067
CHANGI CITY POINT,1.3343251596936,103.962389299537
313@SOMERSET,1.30138510214714,103.837684350436
JUNCTION 10,1.38018163022688,103.76041930548
ION ORCHARD,1.30397974144505,103.832032328465
CITY SQUARE MALL,1.31138865009152,103.856626209616
THE RAIL MALL,1.35773050150178,103.768137724847
EASTPOINT MALL,1.34270592355576,103.953024618234
MARINA BAY LINK MALL,1.28003113385646,103.854284863268
MARINA SQUARE,1.29098635666276,103.857489825456
888 PLAZA,1.43711856085535,103.795316064775
BUGIS+,1.30095171530648,103.855172625542
COMPASS ONE,1.3920543053799,103.895063884132
GEK POH SHOPPING CENTRE,1.3487416466288,103.697739629738
TIONG BAHRU PLAZA,1.28644021678218,103.827450721571
ESPLANADE MALL,1.29036586550079,103.8547977273
SINGPOST CENTRE,1.31899666903663,103.894894915962
PARKWAY PARADE,1.30115259939855,103.905281816778
MYVILLAGE @ SERANGOON,1.36511490572797,103.865159501442
DJITSUN MALL BEDOK,1.32611970329469,103.929554495615
LUCKY PLAZA,1.3044637897474,103.834005158524
TAMPINES MART,1.35416260847105,103.960054350907
THE PARAGON,1.30387230879994,103.835857545469
THE WOODLEIGH MALL,1.33873066388191,103.871670008192
TAMPINES MALL,1.35267232210231,103.944387981063
DAWSON PLACE,1.29270339827689,103.810958956739
PLQ MALL,1.31756115921,103.892836694432
WOODLANDS NORTH PLAZA,1.44285222154947,103.790913269769
CLAYMORE CONNECT,1.30766860940267,103.828164396352
SQUARE 2,1.27822949964567,103.850812513482
RIVERVALE PLAZA,1.38544833801428,103.901925969477
CLEMENTI MALL,1.31489619639366,103.764423054189
JEWEL CHANGI AIRPORT,1.36023106736765,103.989457201894
HILLION MALL,1.37843100827586,103.762842789877
PLAZA SINGAPURA,1.30074770963916,103.845047573431
WESTGATE,1.33415767556867,103.742766484424
LEISURE PARK KALLANG,1.30230108405227,103.876473975883
BEDOK MALL,1.32611970329469,103.929554495615
JURONG POINT,1.33945200436319,103.706685012654
CENTURY SQUARE,1.35236829566862,103.943812302253
FU LU SHOU COMPLEX,1.30151258571919,103.854497235401
ANCHORPOINT,1.28893477974497,103.805607779399
QUEENSWAY SHOPPING CENTRE,1.28761792586115,103.803391140455
600 @ TOA PAYOH,1.33403623894465,103.850977706475
THE STAR VISTA,1.30681500712523,103.788462732266
WHITE SANDS,1.37234519149636,103.949805421214
PUNGGOL PLAZA,1.39425629780831,103.913043510411
THE SHOPPES AT MARINA BAY SANDS,1.28423496027027,103.85898228297
MUSTAFA CENTRE,1.31011213190394,103.855290873926
BUANGKOK SQUARE,1.38433426615655,103.881623070164
BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
LOT ONE,1.38497459672379,103.745011766388
ALEXANDRA RETAIL CENTRE,1.27414893629254,103.801399416665
ORCHARD GATEWAY,1.30160116957544,103.838868886519
HDB HUB,1.33201387005935,103.84984949662
THOMSON PLAZA,1.35436282723449,103.83030941613
AMK HUB,1.36938922690344,103.84847796594
PEOPLE'S PARK COMPLEX,1.28404487854559,103.842590753293
HOUGANG RIVERCOURT,1.36274851459883,103.894906998774
NORTHSHORE PLAZA,1.41676127156324,103.902074379502
HOLLAND PIAZZA,1.31067976097165,103.795260908624
VALLEY POINT,1.29301785120185,103.826940805171
UPPER SERANGOON SHOPPING CENTRE,1.35348082277147,103.878828134896
JEM,1.33329334473462,103.743278742341
FORUM THE SHOPPING MALL,1.30655430501572,103.828652459744
DJITSUN MALL,1.32611970329469,103.929554495615
ORCHARD TOWERS,1.30758079522771,103.829476735628
OUR TAMPINES HUB,1.35218046898785,103.940598001519
TAMAN JURONG SHOPPING CENTRE,1.33484487471259,103.720462024278
NGEE ANN CITY,1.3022727300848,103.834899517575
CAPITOL SINGAPORE,1.29390281870928,103.851299277575
TEKKA CENTRE,1.30671098278725,103.85013440636
INTERNATIONAL PLAZA,1.27581120588262,103.845955084997
WEST COAST PLAZA,1.30358622534992,103.76610375397
ORCHARD CENTRAL,1.30083890839245,103.839434733899
ROCHESTER MALL,1.30540765569962,103.788446680148
KALLANG WAVE MALL,1.30307515150401,103.873149707591
DEPOT HEIGHTS SHOPPING CENTRE,1.28084469467756,103.810292618353
SEMBAWANG SHOPPING CENTRE,1.44176715230315,103.82449507066
NOVENA SQUARE,1.32057156550961,103.843219261065
SIM LIM TOWER,1.30381132990834,103.854639960657
FAR EAST PLAZA,1.30722100162543,103.833805646681
BEAUTY WORLD PLAZA,1.34180018619223,103.776259359854
TAMPINES 1,1.35429846155354,103.925397437954
JUNCTION NINE,1.43306021695327,103.841649364872
WISTERIA MALL,1.41798969122298,103.841317292608
SUN PLAZA,1.44819436804175,103.819464386349
KINEX,1.31461849889242,103.894738004768
FAIRPRICE HUB,1.32561767765205,103.678409741897
PAYA LEBAR SQUARE,1.31881486980278,103.892580778242
GREENRIDGE SHOPPING CENTRE,1.38540569283271,103.766228468185
GV YISHUN,1.42991554202388,103.836473396124
ERA APAC CENTRE,1.33167653374942,103.849383945185
CANBERRA PLAZA,1.44349544527985,103.830345369213
HOUGANG 1,1.35664284566921,103.889828868222
HOUGANG MALL,1.37248308734511,103.893788141349
WISMA ATRIA,1.30370477426147,103.833205752808
IMM,1.33487526118006,103.746894773008
UNITED SQUARE,1.31724362960663,103.844003130499
JUNCTION 8,1.35012457632394,103.848487134435
PALAIS RENAISSANCE,1.30665484543191,103.829588045188
THE MAJESTIC,1.28471077015851,103.843197416212
PASIR RIS WEST PLAZA,1.37969802061042,103.936270775161
WEST MALL,1.35029683568301,103.749064191572
GOLDEN MILE COMPLEX,1.3027712050447,103.865172134495
KATONG SHOPPING CENTRE,1.3040973115095,103.901515916971
ELIAS MALL,1.37790533095468,103.94233582068
TEKKA PLACE,1.30462871949255,103.852226984633
MILLENIA WALK,1.29267926922552,103.860302888543
GREAT WORLD,1.2934759620704,103.831975865363
I12 KATONG,1.30522306203042,103.905043928938
LOYANG POINT,1.36645364010349,103.964598499523
RIVERVALE MALL,1.39221732695142,103.904473070943
PENINSULA PLAZA,1.29231742228801,103.850803179769
WATERWAY POINT,1.40637933605759,103.902172248289
FUNAN,1.29134759697794,103.849989790085
OASIS TERRACES,1.40278015725693,103.913215101343
CITYLINK MALL,1.2927777312893,103.854173501417
VIVOCITY,1.26429316783973,103.82230469365
CHINATOWN POINT,1.28299209695303,103.843245630659
WHEELOCK PLACE,1.30467628730252,103.830642027577
NEX,1.35076935257845,103.872296143862
ONE RAFFLES PLACE,1.28424656418639,103.851050382307
SENGKANG GRAND MALL,1.38298163230717,103.892721008018
FAJAR SHOPPING CENTRE,1.38357469942896,103.770868459633
PIONEER MALL,1.34169239214292,103.697174842118
PEOPLE'S PARK CENTRE,1.28577009981805,103.843980122838
BUGIS JUNCTION,1.29911287475873,103.855411173758
LIMBANG SHOPPING CENTRE,1.39205953217042,103.743154850655
BUKIT PANJANG PLAZA,1.38056905363362,103.764033582493
SELETAR MALL,1.39147015374628,103.876125507257
ADMIRALTY PLACE,1.43938615380542,103.801706470491
WISMA GEYLANG SERAI,1.31649415743907,103.896788418353
WOODLANDS MART,1.44564787003157,103.798162285805
SOUTH BEACH,1.29438518375248,103.8560297971
THE CENTREPOINT,1.30145045537088,103.840034074858
RAFFLES CITY,1.29408304748297,103.853339531257
TANG PLAZA,1.30505783063001,103.83306065595
321 CLEMENTI,1.31200212030821,103.764986676365
HOLLAND ROAD SHOPPING CENTRE,1.31027747574118,103.795371163103
CAUSEWAY POINT,1.43592702612215,103.786047454862
VISTA POINT,1.43089714603015,103.793927429476
CITY VIBE,1.3142420326981248,103.76527744903247
SHAW HOUSE AND CENTRE,1.3063028918746467,103.83184664246109
MANDARIN GALLERY,1.302089565417662,103.83634054158641
CHANGE ALLEY,1.2844197208580772,103.8518214747385
CLARKE QUAY CENTRAL,1.2890266594142623,103.84660800577113
